"Id","Url","Items","WithForm","MultiForm","SchemasSame","Fields","Action","Method"
"cmp9p34hw001501lsdle2pnpm","https://kedmi770.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D-%D7%9E%D7%97%D7%A4%D7%A9%D7%99%D7%9D-%D7%A2%D7%95%D7%91%D7%93%D7%99%D7%9D/","2","0","0","True","0","",""
"cmp5k0she000v01lsrrw43uor","https://www.ness-tech.co.il/careers/","195","0","0","True","0","",""
"cmp5fgi9u000p01lsnnldemj3","https://www.abt-industry.co.il/home/doc.aspx?mCatID=51&mode=s&iccID=52&icPID=53&icID=63","2","0","0","True","0","",""
"cmp30x0nv001n01nylx8i0ntf","https://www.goldpro.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D/","3","0","0","True","0","",""
"cmp079jof000601mpym8nqtph","https://hr.technion.ac.il/positions/","56","0","0","True","0","",""
"cmp05qxto000d01rqucf3d9j7","https://avivim-hr.co.il/%d7%9e%d7%a9%d7%a8%d7%95%d7%aa/","15","15","0","True","10","","POST"
"cmp05q08l000b01rqrypx7duo","https://tafkid-plus.co.il/","113","113","0","True","10","","GET"
"cmp03vj40000y01k5o1cgkf66","https://www.electra.co.il/career/%D7%9E%D7%A9%D7%A8%D7%95%D7%AA","338","0","0","True","0","",""
"cmp03tbjk000s01k5tilukh3i","https://sbisrael.co.il/%d7%93%d7%a8%d7%95%d7%a9%d7%99%d7%9d/","0","0","0","True","0","",""
"cmp02vmm7000i01k59rh7463m","https://gilar.co.il/%d7%9e%d7%a9%d7%a8%d7%95%d7%aa/","2","0","0","True","0","",""
"cmp02sjat000801k5ovtwg0jr","https://www.milouot.co.il/%D7%93%D7%A8%D7%95%D7%A9%D7%99%D7%9D.html","13","0","0","True","0","",""
"cmp02nq8i000201k58p68d39a","https://www.gomobile.co.il/%d7%93%d7%a8%d7%95%d7%a9%d7%99%d7%9d/",,,,,,,
"cmp01cdsd001a01ph74xluh8r","https://careers.nirlat.com/#jobs","9","0","0","True","0","",""
"cmozlr29i001801phxitz9kd4","https://www.clalbit.co.il/careers/#",,,,,,,
"cmowla1ei000c01mrhh4xvfi9","https://www.pac.ac.il/jobs/","9","0","0","True","0","",""
"cmowfdwt0000601mr7e6foa66","https://chayuta.com/career/#position","4","0","0","True","0","",""
"cmoq6j2kw000001o84coeqo46","https://www.strauss-group.co.il/career/jobs/?user_page=1&freeText=","115","0","0","True","0","",""
